frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m,_idx_in_frame,class_name
10,laptop,0.8983,72.4,245.5,929.3,738.6,500,491,-0.1422422404719098,-0.0151518908328773,0.599901002260302,0.6064191549090985,2,laptop
11,cup,0.9321,1002.1,430.9,1370.0,725.7,1186,577,0.0698843206466699,0.0114412383359592,0.5999017701892181,0.6051152994110471,0,cup
11,bowl,0.9161,1384.8,509.8,1895.0,721.4,1639,615,0.2099848264425688,0.0231942002697977,0.5999664622327884,0.6073970941234805,1,bowl
11,laptop,0.8799,72.2,245.7,929.7,738.4,500,491,-0.1422431094113184,-0.0151519833938143,0.599904666977761,0.6061459702306986,2,laptop
12,cup,0.9333,1001.9,431.0,1370.2,725.8,1185,578,0.0695782203633095,0.0117509883280256,0.5999286924353209,0.6031028519732309,0,cup
12,bowl,0.9137,1384.9,508.4,1895.5,721.6,1639,614,0.2099841696999776,0.0228848726918974,0.5999645857946871,0.6073896364446203,1,bowl
12,laptop,0.8828,72.1,246.1,929.6,738.7,500,492,-0.1422449855508955,-0.0148429550140064,0.599912579521946,0.6063579175695657,2,laptop
13,cup,0.9333,1002.0,430.6,1370.2,725.7,1186,577,0.0698846942951795,0.0114412995085028,0.5999049776669511,0.6065360524745043,0,cup
13,bowl,0.918,1385.1,508.8,1895.2,720.8,1640,614,0.2102654804354886,0.0228818316944502,0.5998848610438281,0.6076860988029718,1,bowl
13,laptop,0.8673,72.1,245.7,929.8,738.2,500,491,-0.1422438194611412,-0.0151520590295563,0.5999076615847003,0.6077587223742276,2,laptop
