frame,cls,conf,x1,y1,x2,y2,u,v,X,Y,Z,range_m
110,shoe,0.6386,444.0,337.8,1324.6,775.3,884,556,-0.0235025382193144,0.0049479027830135,0.5999430273110282,0.606769758099771
111,shoe,0.6466,444.7,337.4,1322.7,775.3,883,556,-0.0238113292974899,0.0049478086851927,0.5999316177635928,0.6078853295889135
112,shoe,0.6012,444.8,337.4,1322.7,775.3,883,556,-0.0238113687074034,0.0049478168742656,0.5999326107049299,0.6033499617591279
113,shoe,0.5809,444.6,337.5,1322.9,775.5,883,556,-0.0238113981095959,0.0049478229838121,0.5999333514995616,0.6039725201596351
114,shoe,0.5683,444.6,337.3,1322.7,775.4,883,556,-0.0238114304335069,0.0049478297004689,0.5999341659075276,0.6029894115980783
115,shoe,0.5199,444.4,337.0,1322.9,775.5,883,556,-0.0238114406035613,0.004947831813727,0.5999344221442567,0.6048928165051717
116,shoe,0.5102,444.5,337.3,1322.8,775.3,883,556,-0.0238114493043362,0.0049478336216802,0.5999346413621718,0.6038223563685469
117,shoe,0.5377,444.5,337.2,1322.9,775.2,883,556,-0.023811449263423,0.0049478336131788,0.599934640331355,0.6079377285621012
118,shoe,0.61,444.7,337.4,1322.7,775.4,883,556,-0.0238114473162268,0.0049478332085666,0.5999345912713246,0.6058446420596467
119,shoe,0.5584,444.7,337.3,1322.7,775.3,883,556,-0.023811440782182,0.004947831850843,0.5999344266446459,0.6059693101588451
120,shoe,0.6109,444.6,337.1,1322.6,775.0,883,556,-0.023811415561767,0.0049478266102372,0.5999337912108056,0.6054463652622264
121,shoe,0.5715,443.6,338.1,1324.4,774.7,883,556,-0.0238114048241473,0.0049478243790436,0.5999335206741452,0.6054583107248288
122,shoe,0.5785,444.3,337.2,1323.0,774.8,883,555,-0.0238114690791576,0.0046385978725631,0.5999351395930964,0.6078263144788778
123,shoe,0.6307,444.3,337.3,1323.0,774.9,883,555,-0.0238114579439458,0.004638595703366,0.5999348590390151,0.6060481638587626
124,shoe,0.6123,444.4,337.5,1323.1,774.7,883,555,-0.0238114523734285,0.0046385946182003,0.5999347186886216,0.6050675182304052
125,shoe,0.632,444.6,337.4,1323.0,774.5,883,555,-0.0238114463904852,0.0046385934526919,0.5999345679470638,0.6037792310909149
126,shoe,0.6641,444.1,337.4,1323.0,774.6,883,555,-0.0238114707839099,0.0046385982046577,0.599935182544701,0.6063445485143747
127,shoe,0.5941,444.1,337.4,1322.9,774.6,883,555,-0.0238114943393071,0.0046386027933715,0.5999357760280541,0.6053580804903332
128,shoe,0.6436,443.9,337.4,1322.8,774.6,882,555,-0.0241203628551065,0.0046385313182897,0.599926531766242,0.6113039176578899
129,shoe,0.6283,444.4,337.3,1322.8,774.8,883,555,-0.0238115748001518,0.004638618467562,0.599937803256527,0.6118819959507087
130,shoe,0.5851,444.5,337.6,1322.8,774.7,883,555,-0.0238115421339884,0.0046386121040237,0.599936980225439,0.6120810961323785
